COMM_CODE,CLASS,RE_UNIT_PRICE,has_attraction,commu_center,commu_center_per_person,has_hospital,has_library,has_phs_clinic,schools_per_person,has_social_dev_ctr,MALE,FEMALE,English,Eng_not_spk_oft_home,Eng_ratio,Population,Top_language,Top_language_num,Top_language_per,Top_2_language,Top_2_language_num,Top_2_language_per,Top_3_language,Top_3_language_num,Top_3_language_per,crime_per_person,disorder_per_person
LKV,Residential,1151.994488,0,1,0.000187266,0,0,0,0.000561798,0,"4,436.00","4,326.00",5130,210,0.960674157,5340,Mandarin,30,0.01,Spanish,20,0,Italian,20,0,0.016666667,0.022284644
OAK,Residential,846.4350176,0,1,0.000178731,0,0,0,0.000357462,0,848,838,5145,450,0.919571046,5595,Mandarin,65,0.01,Korean,50,0.01,Russian,45,0.01,0.016085791,0.025022341
MID,Residential,875.2258405,0,1,0.000155885,0,0,0,0.000779423,0,"3,576.00","3,456.00",5895,520,0.918939984,6415,"Tagalog (Pilipino, Filipino)",105,0.02,Spanish,55,0.01,Polish,55,0.01,0.024473889,0.053936087
RUN,Residential,727.7528707,0,1,0.000101266,0,0,0,0.000506329,0,"4,280.00","4,378.00",6350,3525,0.643037975,9875,"Tagalog (Pilipino, Filipino)",645,0.06,Arabic,445,0.04,Punjabi (Panjabi),410,0.04,0.038075949,0.121924051
THO,Residential,770.801219,0,1,0.000121951,0,0,0,0.000487805,0,"2,341.00","2,403.00",6635,1565,0.809146341,8200,Cantonese,385,0.04,Mandarin,250,0.03,Arabic,155,0.02,0.032073171,0.080731707
TUX,Residential,1420.421925,0,1,0.000205973,0,0,0,0.00061792,0,"4,427.00","4,453.00",3990,865,0.821833162,4855,Cantonese,300,0.06,Mandarin,80,0.02,Spanish,80,0.02,0.069207003,0.139443872
WIN,Residential,141.3431591,0,1,0.000282885,0,0,0,0.000848656,0,"5,846.00","5,678.00",3295,240,0.932107496,3535,Cantonese,60,0.02,Mandarin,30,0.01,Italian,25,0.01,0.058274399,0.114002829
WGT,Residential,988.5806704,0,1,0.000314961,0,0,0,0.000629921,0,"1,267.00","1,202.00",2930,245,0.922834646,3175,Spanish,70,0.02,Arabic,30,0.01,Polish,25,0.01,0.015433071,0.031811024
WIL,Residential,910.0326909,0,0,0,0,1,0,0.000780488,0,"3,303.00","3,584.00",4720,405,0.92097561,5125,"Tagalog (Pilipino, Filipino)",110,0.02,Spanish,35,0.01,Vietnamese,35,0.01,0.051902439,0.101268293
WLD,Residential,1231.077149,0,1,0.000401606,0,0,0,0.000803213,0,"1,828.00","1,814.00",2390,100,0.959839357,2490,Cantonese,35,0.01,Korean,15,0.01,Greek,10,0,0.026104418,0.036947791
